workload,phase,cg_working_set,cg_anon,cg_peak,proc_pss,nprocs
wasm,idle,4411392,2048000,6975488,44418048,6
wasm,load,26202112,23314432,29593600,65696768,6
container,idle,1081344,77824,6217728,6833152,3
container,load,1482752,81920,6217728,6960128,3
python,idle,43106304,40194048,43876352,59814912,4
python,load,44974080,41992192,46854144,61342720,4
