workload,phase,cg_working_set,cg_anon,cg_peak,proc_pss,nprocs
wasm,idle,24313856,21442560,29528064,63842304,6
wasm,load,26730496,23552000,29753344,65964032,6
container,idle,1359872,90112,5726208,8420352,3
container,load,1908736,106496,5726208,8461312,3
